n_features,n_classes,K,pair_lasso_recall,pair_lasso_spearman,fisher_select_recall,fisher_select_spearman,ridge_select_recall,ridge_select_spearman,joint_lasso_recall,joint_lasso_spearman,joint_refit_recall,joint_refit_spearman,seed
8,3,2,0.5,0.6546536707079772,0.5,0.7637626158259734,0.5,0.7637626158259734,0.5,0.6546536707079772,0.5,0.6546536707079772,9
8,3,5,0.8,0.9271050693011065,0.8,0.9759000729485332,0.8,0.9759000729485332,0.8,0.9027075674773933,0.8,0.9271050693011065,9
8,3,2,0.5,0.6546536707079772,0.5,0.7637626158259734,0.5,0.7637626158259734,0.5,0.6546536707079772,0.5,0.6546536707079772,9
8,3,5,0.8,0.9271050693011065,1.0,0.9759000729485332,0.8,0.9759000729485332,0.8,0.9271050693011065,0.8,0.9271050693011065,9
8,3,2,0.5,0.6546536707079772,1.0,0.7637626158259734,1.0,0.7637626158259734,0.5,0.545544725589981,0.5,0.545544725589981,9
8,3,5,0.8,0.8539125638299666,0.8,0.9271050693011065,0.8,0.9271050693011065,0.8,0.8539125638299666,0.8,0.8539125638299666,9
8,3,2,0.5,0.7637626158259734,1.0,0.7637626158259734,1.0,0.7637626158259734,0.5,0.6546536707079772,0.5,0.6546536707079772,10
8,3,5,0.8,0.95150257112482,0.8,0.9759000729485332,0.8,0.9759000729485332,0.8,0.95150257112482,0.8,0.9759000729485332,10
8,3,2,0.5,0.7637626158259734,0.5,0.4052617961525573,0.5,0.4052617961525573,0.5,0.4052617961525573,0.5,0.4052617961525573,10
8,3,5,0.8,0.9759000729485332,0.6,0.8539125638299666,0.8,0.9759000729485332,0.8,0.95150257112482,0.8,0.9759000729485332,10
8,3,2,1.0,0.7637626158259734,1.0,0.7637626158259734,1.0,0.7637626158259734,0.5,0.43643578047198484,0.5,0.43643578047198484,10
8,3,5,0.8,0.95150257112482,0.8,0.9271050693011065,0.8,0.9759000729485332,0.8,0.95150257112482,0.8,0.9759000729485332,10
8,3,2,0.5,0.7637626158259734,0.5,0.4052617961525573,1.0,0.7637626158259734,0.5,0.4052617961525573,0.5,0.4052617961525573,10
8,3,5,0.8,0.9759000729485332,0.8,0.9759000729485332,0.8,0.9759000729485332,0.8,0.9271050693011065,0.8,0.9759000729485332,10
8,3,2,0.5,0.7637626158259734,0.5,0.4052617961525573,0.5,0.4052617961525573,0.5,0.6546536707079772,0.5,0.6546536707079772,10
8,3,5,0.8,0.9759000729485332,0.6,0.8539125638299666,0.6,0.8539125638299666,0.8,0.95150257112482,0.8,0.9759000729485332,10
8,3,2,0.5,0.7637626158259734,0.5,0.4052617961525573,1.0,0.7637626158259734,0.5,0.4052617961525573,0.5,0.4052617961525573,10
8,3,5,0.8,0.9759000729485332,0.6,0.8783100656536799,0.6,0.8783100656536799,0.8,0.95150257112482,0.8,0.9759000729485332,10
8,3,2,0.5,0.7637626158259734,1.0,0.7637626158259734,1.0,0.7637626158259734,0.5,0.6546536707079772,0.5,0.6546536707079772,10
8,3,5,0.8,0.9759000729485332,0.8,0.9759000729485332,0.8,0.9759000729485332,0.8,0.95150257112482,0.8,0.9759000729485332,10
8,3,2,0.5,0.7637626158259734,0.5,0.4052617961525573,1.0,0.7637626158259734,0.5,0.4052617961525573,0.5,0.4052617961525573,10
8,3,5,0.8,0.95150257112482,0.8,0.9759000729485332,0.8,0.9759000729485332,0.8,0.9271050693011065,0.8,0.9759000729485332,10
8,3,2,1.0,0.7637626158259734,0.5,0.6546536707079772,0.5,0.6546536707079772,0.0,0.21821789023599242,0.0,0.21821789023599242,11
8,3,5,0.6,0.7319250547113999,0.4,0.6587325492402599,0.4,0.6587325492402599,0.4,0.5855400437691199,0.4,0.5855400437691199,11
8,3,2,1.0,0.7637626158259734,0.5,0.43643578047198484,0.5,0.43643578047198484,0.0,0.21821789023599242,0.0,0.21821789023599242,11
8,3,5,0.6,0.8783100656536799,0.4,0.5855400437691199,0.4,0.5855400437691199,0.4,0.5855400437691199,0.4,0.5855400437691199,11
8,3,2,1.0,0.7637626158259734,1.0,0.7637626158259734,1.0,0.7637626158259734,1.0,0.7325886315065459,1.0,0.7637626158259734,11
